Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PYGL,52.26224866731019,-1.2392229502611007,0.37566430764736103,-3.298750839604301,0.0009711606957089787,0.02252999283319722
KDM5B,101.6497400302178,-1.2356585393031772,0.2794040748459393,-4.422478591210623,9.757502046375542e-06,0.0011719056565810862
LOC400682,4.1094135674257775,-1.2288834869095624,0.36776201280603193,-3.341518275727162,0.0008332153099460926,0.02053179954951478
SOX4,266.09339703143513,-1.2215043674045396,0.31477934942388164,-3.8805098544112653,0.00010423772123038708,0.004995619866139715
MEGF6,34.159558911178806,-1.2152449019509317,0.31539586890088495,-3.8530780576990677,0.00011664218494231439,0.0054557588963471525
ACCS,10.596010734944073,-1.2139516359188616,0.33489259015162404,-3.6248984648159572,0.0002890750014869382,0.010158836719979025
ZNF804A,15.188081023759654,-1.2098489843875522,0.34756838524580974,-3.480894798679443,0.0004997417320534249,0.014416701104527245
HLA-DPB1,222.93346069341658,-1.2079349542060707,0.36791077342484363,-3.283228003794312,0.0010262562568437775,0.023358238866398606
C5orf66,25.09762685887663,-1.207306777252247,0.30291621208976804,-3.9856129486211396,6.730615069599564e-05,0.003770448821741182
MYLPF,6.946206880013471,-1.20505877652335,0.36577336321334286,-3.2945503902657918,0.000985792683069047,0.022687359312733975
LINC00537,23.26029001142727,-1.193844558541827,0.36765485694652855,-3.247188323464632,0.0011655124146679968,0.02544584732507033
HIP1,44.657383975100046,-1.189077467903297,0.38956514820554206,-3.052319935139364,0.0022707992674226157,0.03864894885182253
RAB32,35.41813688648699,-1.1875751930353524,0.37867836259571114,-3.136105228973024,0.0017120776101150125,0.03260165704742065
IGF2BP2,81.44638387843813,-1.1849453228722966,0.302135910056459,-3.9218950261518746,8.785526882917263e-05,0.004486827563208594
GPX1,438.66623078485543,-1.1833615263819781,0.29011112268419825,-4.078993991795797,4.5231005734648014e-05,0.0029698880381176986
NCF4,43.5465477135128,-1.1764886840856656,0.36122840934020156,-3.256910734774627,0.00112631847103466,0.024929067169776328
ETS2,109.05356067266595,-1.170919583128225,0.35290364019416504,-3.3179583596360573,0.0009067800156464293,0.021450816254610924
COMT,78.61008870812175,-1.165024327324644,0.2971592954232063,-3.9205380591088277,8.835148061101725e-05,0.0044911476699234015
